Prog,Lit,Exact,Time
186,~a_8,"[0,9722-0,9722]",7.90
187,d_13,"[0,9980-1,0000]",46.89
187,a_8,"[0,9022-1,0000]",47.66
188,a_6,"[1,0000-1,0000]",25.22
189,d_16,"[1,0000-1,0000]",17.55
189,a_5,"[1,0000-1,0000]",17.18
189,a_7,"[0,7048-0,7054]",17.65
190,~a_1,"[1,0000-1,0000]",21.33
190,~a_6,"[0,9262-1,0000]",21.14
190,a_7,"[0,0000-0,0071]",21.79
191,~d_15,"[1,0000-1,0000]",16.23
191,~a_8,"[0,0058-0,0058]",16.30
192,a_6,"[1,0000-1,0000]",19.56
192,~a_7,"[1,0000-1,0000]",20.01
193,~a_8,"[1,0000-1,0000]",28.28
194,~d_14,"[1,0000-1,0000]",9.61
195,a_0,"[1,0000-1,0000]",11.03
195,a_9,"[0,0001-0,0334]",11.57
195,~a_9,"[0,9666-0,9999]",11.44
196,~a_1,"[1,0000-1,0000]",15.77
197,d_11,"[0,8924-1,0000]",19.08
197,a_5,"[1,0000-1,0000]",19.10
198,d_16,"[1,0000-1,0000]",59.28
198,a_7,"[0,9999-1,0000]",60.29
198,~a_8,"[0,1836-0,1836]",60.21
199,~a_8,"[0,9059-0,9933]",10.55
200,d_16,"[1,0000-1,0000]",53.62
200,a_7,"[0,0409-0,0409]",56.27
201,a_7,"[0,0004-0,0010]",49.44
202,~a_4,"[1,0000-1,0000]",3.61
203,a_4,"[1,0000-1,0000]",4.05
203,~a_8,"[0,0103-0,0103]",3.99
204,d_18,"[1,0000-1,0000]",69.25
204,a_6,"[1,0000-1,0000]",70.13
204,a_8,"[0,0000-0,1164]",70.84
205,~a_2,"[1,0000-1,0000]",18.13
205,~a_5,"[0,9551-1,0000]",18.04
205,a_9,"[0,1004-0,1453]",18.15
206,~d_9,"[1,0000-1,0000]",13.34
206,a_5,"[1,0000-1,0000]",13.64
206,~a_8,"[0,1091-0,1091]",13.94
207,d_12,"[1,0000-1,0000]",11.21
208,d_13,"[0,9649-1,0000]",17.61
208,a_8,"[1,0000-1,0000]",17.96
208,a_7,"[0,9993-0,9993]",19.64
209,a_2,"[1,0000-1,0000]",7.29
209,a_9,"[0,0008-0,0008]",7.93
211,a_6,"[0,9775-1,0000]",22.15
211,~a_7,"[0,0000-0,0527]",23.53
212,a_1,"[1,0000-1,0000]",8.70
212,a_7,"[0,9905-0,9986]",8.81
213,~a_2,"[1,0000-1,0000]",15.95
213,a_5,"[1,0000-1,0000]",15.96
213,~a_7,"[0,0000-0,0015]",17.62
214,~a_8,"[1,0000-1,0000]",32.78
214,a_5,"[0,9950-1,0000]",32.10
214,a_9,"[0,0063-0,0063]",34.31
216,~a_7,"[0,0044-0,0620]",16.46
217,d_13,"[0,9573-1,0000]",17.54
217,a_8,"[0,9572-0,9572]",18.01
217,a_9,"[0,8874-0,8874]",17.70
218,d_9,"[1,0000-1,0000]",23.40
218,a_6,"[0,8322-1,0000]",23.08
