Prog,Lit,Exact,Time
235,~d_12,"[0,9100-1,0000]",12.74
236,d_17,"[0,9342-1,0000]",12.69
236,~a_7,"[0,8405-0,9941]",12.77
237,a_7,"[0,0081-0,1255]",6.48
238,a_1,"[0,7863-1,0000]",3.16
238,~a_8,"[0,2108-0,2162]",3.21
240,a_5,"[0,8836-1,0000]",25.27
240,~a_9,"[0,8389-0,9280]",25.65
243,a_5,"[0,9100-1,0000]",6.42
246,d_12,"[0,9018-1,0000]",6.30
246,~a_6,"[0,9000-1,0000]",6.45
246,a_8,"[0,0000-0,0982]",6.50
247,~d_11,"[0,9600-1,0000]",12.61
247,a_6,"[0,9600-1,0000]",12.65
248,a_6,"[0,8796-1,0000]",3.04
248,a_8,"[0,8645-0,9849]",3.17
249,d_17,"[0,9400-1,0000]",12.70
250,a_9,"[0,9181-0,9181]",26.20
250,~a_9,"[0,0819-0,0819]",26.08
251,~a_5,"[0,9100-1,0000]",3.20
252,a_4,"[0,8944-1,0000]",12.69
252,a_6,"[0,8944-1,0000]",12.68
252,a_7,"[0,8874-0,9930]",12.82
253,~a_8,"[0,7783-0,9460]",13.61
254,d_17,"[0,9700-1,0000]",12.66
254,~a_7,"[0,8832-0,9732]",12.77
255,a_5,"[0,8431-1,0000]",1.57
255,~a_7,"[0,8023-0,9592]",1.63
258,d_12,"[0,9310-1,0000]",6.32
258,a_5,"[1,0000-1,0000]",6.29
259,a_7,"[0,0012-0,0976]",6.42
260,d_11,"[0,9100-1,0000]",25.05
260,a_9,"[0,9871-0,9886]",25.51
260,a_7,"[0,0218-0,2430]",25.79
261,d_10,"[1,0000-1,0000]",6.24
261,a_7,"[0,8023-0,9999]",6.19
262,~a_7,"[0,8407-0,9236]",25.71
263,~d_18,"[0,7966-1,0000]",6.24
263,~a_5,"[0,9115-1,0000]",6.33
263,a_7,"[0,9115-0,9975]",6.32
264,~a_0,"[0,9104-1,0000]",6.32
265,d_14,"[0,9043-1,0000]",6.26
266,a_6,"[0,9728-1,0000]",12.51
266,~a_8,"[0,8750-0,9022]",12.63
267,a_4,"[0,7819-1,0000]",12.46
267,a_8,"[0,0836-0,2903]",12.89
268,a_5,"[0,9200-1,0000]",25.19
268,~a_7,"[0,9701-1,0000]",25.31
269,a_2,"[0,8523-1,0000]",3.16
269,a_8,"[0,8694-0,8794]",3.30
269,a_7,"[0,0542-0,1503]",3.24
270,a_7,"[0,9517-1,0000]",3.16
270,a_9,"[0,1370-0,2437]",3.26
271,d_10,"[0,8871-1,0000]",12.73
271,a_5,"[0,8460-1,0000]",12.84
271,a_8,"[0,8114-0,9521]",12.98
272,a_4,"[0,8883-1,0000]",3.13
272,a_7,"[0,8945-0,8945]",3.30
272,a_8,"[0,1982-0,1982]",3.20
273,a_7,"[0,7486-0,9544]",12.84
273,a_8,"[0,0129-0,2186]",12.78
274,a_8,"[0,8412-1,0000]",25.27
274,~a_7,"[0,7944-0,9532]",25.74
275,~d_13,"[0,7805-1,0000]",3.22
275,a_5,"[0,8749-1,0000]",3.17
276,d_17,"[0,7844-1,0000]",12.76
276,~a_8,"[0,9012-0,9912]",13.02
277,~d_16,"[0,8996-1,0000]",6.35
277,a_6,"[0,9800-1,0000]",6.38
277,a_7,"[0,9331-0,9531]",6.46
278,a_8,"[0,0000-0,1653]",6.39
279,a_6,"[0,9214-1,0000]",25.28
279,~a_7,"[0,9214-1,0000]",25.64
280,~a_5,"[0,9265-1,0000]",50.50
281,d_11,"[0,9300-1,0000]",3.16
281,a_7,"[1,0000-1,0000]",3.13
282,d_11,"[0,8404-1,0000]",12.47
282,a_9,"[0,9735-0,9935]",12.82
282,~a_7,"[0,9251-0,9451]",12.79
283,d_13,"[0,9600-1,0000]",12.53
283,a_8,"[0,9112-0,9986]",12.93
285,a_3,"[0,8680-1,0000]",25.55
286,d_12,"[0,9700-1,0000]",12.78
286,~a_8,"[0,9622-0,9622]",13.00
286,a_8,"[0,0378-0,0378]",12.91
287,a_3,"[0,9500-1,0000]",3.22
287,a_8,"[0,9601-0,9721]",3.28
288,a_6,"[0,9013-1,0000]",3.24
288,a_8,"[0,8366-0,9354]",3.24
289,d_17,"[0,9892-1,0000]",6.37
290,d_16,"[0,9054-1,0000]",12.91
290,~a_7,"[1,0000-1,0000]",12.90
291,a_1,"[0,9900-1,0000]",1.59
291,a_5,"[0,9716-1,0000]",1.59
293,a_5,"[0,7794-1,0000]",6.39
294,~a_8,"[0,0579-0,0579]",6.72
296,~a_6,"[0,9600-1,0000]",25.63
296,~a_7,"[0,9514-0,9914]",26.24
298,a_3,"[0,9214-1,0000]",3.21
298,~a_8,"[0,9214-1,0000]",3.18
298,a_7,"[0,7924-0,8711]",3.27
299,d_16,"[0,9100-1,0000]",25.63
299,~a_8,"[0,7760-0,8588]",25.86
