Prog,Lit,Exact,Time
149,~a_8,"[1,0000-1,0000]",3.90
149,~a_9,"[0,8078-0,9964]",4.05
149,a_9,"[0,0036-0,1922]",4.09
150,a_5,"[0,9207-1,0000]",3.28
151,~d_12,"[1,0000-1,0000]",2.47
151,a_5,"[1,0000-1,0000]",2.53
151,a_9,"[0,9507-0,9507]",2.56
152,d_12,"[1,0000-1,0000]",3.49
152,a_7,"[0,0008-0,0008]",3.77
152,a_8,"[0,9938-0,9938]",3.75
153,d_11,"[1,0000-1,0000]",12.19
153,a_9,"[0,0035-0,1378]",12.64
154,d_12,"[1,0000-1,0000]",4.34
155,~d_18,"[1,0000-1,0000]",5.83
156,d_15,"[1,0000-1,0000]",4.93
156,~a_7,"[0,9998-1,0000]",5.01
157,d_11,"[1,0000-1,0000]",4.37
158,d_14,"[0,9974-1,0000]",3.50
158,a_5,"[1,0000-1,0000]",3.49
158,~a_7,"[0,1207-0,1207]",3.57
160,a_3,"[1,0000-1,0000]",16.84
160,a_7,"[0,9075-1,0000]",17.01
160,~a_8,"[0,7935-0,9430]",17.65
163,d_13,"[0,9959-1,0000]",3.85
163,a_8,"[0,2229-0,2229]",4.01
164,a_1,"[0,9108-1,0000]",0.79
164,~a_5,"[0,8910-1,0000]",0.80
165,a_8,"[0,9264-1,0000]",6.26
165,a_7,"[0,1162-0,2274]",6.58
166,~a_3,"[1,0000-1,0000]",3.87
166,a_6,"[0,9483-1,0000]",3.86
166,~a_8,"[0,0000-0,0651]",4.06
167,d_14,"[1,0000-1,0000]",8.93
167,~a_7,"[0,9896-0,9909]",9.49
167,a_8,"[0,1837-0,1837]",9.24
168,~d_13,"[1,0000-1,0000]",5.08
168,a_7,"[0,1080-0,2229]",5.32
169,d_9,"[1,0000-1,0000]",1.78
169,a_8,"[0,8575-0,9956]",1.81
169,~a_7,"[0,9905-0,9999]",1.87
170,d_15,"[1,0000-1,0000]",4.63
170,a_8,"[0,0078-0,0079]",4.93
171,a_2,"[1,0000-1,0000]",7.68
171,a_8,"[1,0000-1,0000]",7.74
172,~a_3,"[0,9997-1,0000]",10.11
172,a_7,"[1,0000-1,0000]",10.43
172,~a_7,"[0,0000-0,0000]",10.40
173,a_3,"[1,0000-1,0000]",1.38
174,~d_19,"[1,0000-1,0000]",10.79
174,a_8,"[0,0692-0,0700]",11.88
175,a_4,"[1,0000-1,0000]",8.84
175,a_5,"[1,0000-1,0000]",8.90
175,a_7,"[0,8871-0,8871]",9.05
176,d_15,"[1,0000-1,0000]",8.16
177,d_11,"[1,0000-1,0000]",1.95
177,~a_6,"[1,0000-1,0000]",1.93
177,a_7,"[0,9996-0,9996]",2.08
179,a_4,"[1,0000-1,0000]",4.57
179,a_5,"[1,0000-1,0000]",4.61
180,d_15,"[0,9996-1,0000]",2.21
180,a_7,"[0,9032-1,0000]",2.27
181,d_11,"[0,8271-1,0000]",1.66
181,~a_8,"[0,2801-0,2801]",1.72
182,d_9,"[1,0000-1,0000]",1.70
