Prog,Lit,Exact,Time
194,a_7,"[0,0975-0,1710]",94.36
195,~d_18,"[0,8747-1,0000]",180.81
196,d_9,"[0,8330-1,0000]",45.87
197,~a_8,"[0,6633-0,9958]",93.44
197,a_8,"[0,0042-0,3367]",93.53
198,a_0,"[0,9700-1,0000]",24.10
198,~a_8,"[0,9452-0,9752]",23.63
198,a_7,"[0,0487-0,0968]",23.23
199,~a_3,"[0,9700-1,0000]",46.29
199,a_7,"[0,9017-0,9108]",47.37
199,~a_7,"[0,0892-0,0983]",47.58
200,a_5,"[0,9776-1,0000]",91.94
200,a_7,"[0,9214-0,9438]",95.11
201,a_7,"[0,0827-0,2137]",95.06
202,d_12,"[0,9700-1,0000]",11.25
204,~d_14,"[0,9621-1,0000]",46.64
204,a_6,"[0,9100-1,0000]",47.21
204,~a_7,"[0,0013-0,0913]",47.99
205,~d_17,"[0,9500-1,0000]",93.32
205,a_6,"[0,8015-1,0000]",93.51
205,~a_9,"[0,7969-0,9954]",94.01
207,d_13,"[1,0000-1,0000]",23.75
207,a_6,"[0,9600-1,0000]",23.33
207,a_8,"[0,9595-0,9995]",23.73
208,a_6,"[0,8268-1,0000]",46.29
208,~a_7,"[0,0118-0,1118]",46.77
209,a_4,"[0,9000-1,0000]",182.13
209,a_7,"[0,8895-0,9042]",187.89
210,a_3,"[0,9300-1,0000]",91.57
210,~a_5,"[0,9200-1,0000]",92.51
210,a_7,"[0,8275-0,8975]",96.27
211,d_16,"[1,0000-1,0000]",44.97
212,d_12,"[0,9274-1,0000]",23.18
212,a_6,"[0,9600-1,0000]",23.29
213,~a_6,"[0,9800-1,0000]",23.55
213,a_8,"[0,9769-0,9969]",24.00
214,d_18,"[1,0000-1,0000]",368.93
214,a_7,"[0,9321-0,9721]",379.48
215,~a_7,"[0,1910-0,2780]",93.78
215,~a_8,"[0,6993-1,0000]",93.68
216,~a_8,"[0,9306-0,9863]",47.74
216,~a_7,"[0,0761-0,0951]",46.14
217,a_9,"[0,7365-0,9937]",24.56
218,d_9,"[0,9216-1,0000]",91.34
218,~a_7,"[0,9772-0,9972]",94.07
218,a_7,"[0,0028-0,0228]",94.39
219,a_2,"[0,9200-1,0000]",22.83
219,a_6,"[0,9200-1,0000]",22.83
219,a_7,"[0,0364-0,1164]",23.56
221,a_7,"[0,7496-0,8251]",380.34
221,~a_7,"[0,1749-0,2504]",380.38
222,d_11,"[1,0000-1,0000]",188.57
223,a_8,"[0,8720-1,0000]",23.44
223,~a_8,"[0,0000-0,1280]",23.42
225,d_18,"[0,9364-1,0000]",95.14
226,~a_0,"[0,9237-1,0000]",371.51
227,d_10,"[1,0000-1,0000]",46.50
227,~a_7,"[0,9489-0,9989]",46.77
228,d_10,"[0,9900-1,0000]",45.58
228,~a_8,"[0,0285-0,0785]",46.23
229,~a_5,"[1,0000-1,0000]",22.39
230,a_5,"[0,8654-1,0000]",45.92
230,~a_9,"[0,8152-0,9497]",46.75
234,d_16,"[0,9460-1,0000]",23.73
235,d_16,"[1,0000-1,0000]",24.10
235,a_7,"[0,9400-1,0000]",24.21
236,~a_9,"[0,8624-1,0000]",90.39
237,a_6,"[0,9132-1,0000]",11.35
239,a_2,"[0,8275-1,0000]",11.43
239,~a_7,"[0,6799-0,8525]",11.52
239,~a_8,"[0,0000-0,1725]",11.86
242,~a_7,"[0,2471-0,3237]",11.30
243,~a_1,"[0,9800-1,0000]",180.87
243,a_7,"[0,8235-0,8744]",185.38
243,~a_7,"[0,1256-0,1765]",185.92
244,~a_6,"[0,9439-1,0000]",185.45
244,a_7,"[0,9332-0,9893]",188.81
245,a_6,"[0,9320-1,0000]",23.56
245,~a_8,"[0,0000-0,0680]",23.52
246,d_13,"[0,9300-1,0000]",47.21
246,~a_8,"[0,8308-0,9256]",48.29
247,a_5,"[0,8097-1,0000]",47.49
247,a_9,"[0,8007-0,9910]",47.15
248,~a_5,"[0,9804-1,0000]",23.07
248,~a_7,"[0,8212-0,8912]",23.93
249,d_12,"[0,9227-1,0000]",11.39
251,a_8,"[0,9097-0,9955]",23.15
251,a_7,"[0,8384-0,9242]",22.75
253,d_11,"[0,9100-1,0000]",91.02
253,a_5,"[0,9600-1,0000]",91.66
253,~a_8,"[0,2006-0,2650]",94.74
254,a_1,"[0,8771-1,0000]",89.90
254,~a_7,"[0,8552-0,9507]",91.61
255,d_13,"[0,9584-1,0000]",90.11
256,~a_0,"[0,9216-1,0000]",11.89
258,d_10,"[0,8994-1,0000]",45.49
258,a_5,"[1,0000-1,0000]",46.22
259,d_16,"[0,9700-1,0000]",25.07
259,a_7,"[0,1840-0,2040]",24.91
260,a_9,"[0,8076-0,9469]",47.03
260,~a_7,"[0,0112-0,0312]",46.76
261,a_5,"[0,8404-1,0000]",23.39
262,d_18,"[0,9600-1,0000]",46.10
264,a_4,"[0,9400-1,0000]",11.80
264,~a_6,"[1,0000-1,0000]",11.56
264,a_9,"[0,1180-0,1180]",11.99
266,~d_16,"[0,9707-1,0000]",23.22
267,a_4,"[0,9200-1,0000]",47.07
267,~a_7,"[0,9160-0,9860]",46.50
268,d_17,"[0,9600-1,0000]",89.46
268,~a_6,"[0,8980-1,0000]",91.40
268,a_7,"[0,0020-0,1020]",91.17
269,~a_3,"[0,9534-1,0000]",92.40
269,a_8,"[0,7315-0,8433]",93.76
271,a_7,"[0,8057-0,9407]",95.55
273,~a_8,"[0,9183-0,9583]",23.96
273,~a_7,"[0,7463-0,7863]",23.50
274,~a_7,"[0,6975-0,8658]",189.88
275,a_2,"[0,8366-1,0000]",5.76
276,d_18,"[0,9200-1,0000]",46.15
277,d_10,"[0,9228-1,0000]",22.84
277,a_7,"[0,1774-0,2374]",23.06
277,~a_7,"[0,7626-0,8226]",23.17
279,a_8,"[0,8577-0,8577]",49.88
280,~d_12,"[1,0000-1,0000]",185.21
281,a_3,"[0,8742-1,0000]",47.53
281,a_7,"[0,8742-1,0000]",47.48
282,~d_15,"[0,9799-1,0000]",23.12
282,a_5,"[0,9080-1,0000]",23.41
282,~a_9,"[0,0168-0,1068]",23.70
283,a_6,"[1,0000-1,0000]",183.45
283,a_5,"[1,0000-1,0000]",186.01
283,a_9,"[0,8860-0,8860]",192.16
284,a_3,"[1,0000-1,0000]",90.20
285,~a_7,"[0,0881-0,0881]",23.90
286,a_8,"[0,0468-0,0468]",6.05
287,a_7,"[0,0881-0,1885]",48.52
287,a_8,"[0,8288-0,9293]",48.99
288,d_12,"[0,9200-1,0000]",23.27
288,~a_7,"[0,6303-0,7941]",24.05
288,~a_8,"[0,0007-0,1645]",24.29
289,d_16,"[0,9900-1,0000]",75.08
289,~a_6,"[0,8963-1,0000]",75.26
290,~d_10,"[0,8853-1,0000]",75.07
290,~a_7,"[0,8853-1,0000]",75.40
291,d_12,"[0,8416-1,0000]",76.58
291,a_5,"[0,8395-1,0000]",76.52
292,d_14,"[0,9300-1,0000]",19.02
293,~a_7,"[0,1086-0,1886]",76.68
294,~d_20,"[0,9800-1,0000]",9.64
295,a_0,"[0,9200-1,0000]",76.01
295,a_8,"[0,9786-1,0000]",76.89
296,a_3,"[1,0000-1,0000]",304.78
298,a_7,"[0,9476-0,9939]",9.55
298,~a_7,"[0,0061-0,0524]",9.50
299,~d_17,"[0,9170-1,0000]",19.51
299,a_7,"[0,7034-0,8677]",19.49
