Prog,Lit,Intervalo,Metric,Time,Mass
235,a_7,"[0,0017-0,9997]",0.0020,1.23,0.0020
236,~d_10,"[0,0002-1,0000]",0.0002,1.96,0.0002
236,a_7,"[0,0000-0,9998]",0.0002,2.06,0.0002
236,~a_7,"[0,0002-1,0000]",0.0002,2.03,0.0002
237,a_8,"[0,0129-1,0000]",0.0142,0.58,0.0130
237,~a_7,"[0,0129-1,0000]",0.0143,0.61,0.0130
238,d_11,"[0,0085-1,0000]",0.0085,0.49,0.0085
238,~a_8,"[0,0000-1,0000]",0.0000,0.52,0.0085
239,~d_12,"[0,1081-1,0000]",0.1081,1.03,0.1081
240,d_13,"[0,2757-1,0000]",0.3325,0.46,0.2763
240,~a_9,"[0,2753-0,9990]",0.2763,0.56,0.2763
240,a_9,"[0,0010-0,7247]",0.2763,0.52,0.2763
241,~a_2,"[1,1440-1,0000]",1.1440,1.02,1.1440
241,~a_5,"[1,1440-1,0000]",1.1440,1.01,1.1440
241,a_7,"[0,0053--0,1384]",1.1507,1.00,1.1440
242,d_10,"[0,1144-1,0000]",0.1154,4.57,0.1144
242,~a_7,"[0,1071-0,9928]",0.1152,4.64,0.1144
242,a_8,"[0,1107-1,0000]",0.1135,4.60,0.1144
244,~a_8,"[1,3505-0,9994]",1.3574,0.66,1.3511
244,a_7,"[1,3511-1,0000]",1.3557,0.63,1.3511
245,d_15,"[0,1730-1,0000]",0.1730,1.02,0.1730
245,a_6,"[0,1730-1,0000]",0.1831,1.00,0.1730
245,a_8,"[0,1718-0,9988]",0.1838,1.00,0.1730
246,~a_6,"[0,0064-1,0000]",0.0064,2.24,0.0064
247,d_17,"[0,0000-1,0000]",0.0000,0.70,0.0000
247,a_5,"[0,0000-1,0000]",0.0000,0.71,0.0000
247,a_9,"[0,0000-1,0000]",0.0000,0.71,0.0000
248,d_14,"[0,1142-1,0000]",0.1142,0.87,0.1142
248,~a_5,"[0,1043-1,0000]",0.1277,0.85,0.1142
248,~a_8,"[0,0000-0,8858]",0.1143,0.89,0.1142
249,~a_8,"[0,0037-1,0000]",0.0037,1.21,0.0037
250,~a_1,"[0,0000-1,0000]",0.0000,0.13,0.0000
250,a_5,"[0,0000-1,0000]",0.0000,0.12,0.0000
250,~a_9,"[0,0000-1,0000]",0.0000,0.11,0.0000
251,d_14,"[0,0263-1,0000]",0.0266,1.35,0.0264
251,~a_6,"[0,0038-1,0000]",0.0041,1.34,0.0264
251,~a_7,"[0,0028-0,9990]",0.0041,1.47,0.0264
252,d_10,"[0,0079-1,0000]",0.0083,2.37,0.0082
253,~a_7,"[0,0030-0,9995]",0.0036,2.35,0.0036
254,d_10,"[0,0108-1,0000]",0.0108,1.41,0.0108
254,~a_7,"[0,0035-0,9931]",0.0114,1.48,0.0108
254,a_9,"[0,0001-0,9893]",0.0108,1.44,0.0108
255,d_16,"[0,0000-1,0000]",0.0000,1.14,0.0076
255,a_5,"[0,0076-1,0000]",0.0076,1.18,0.0076
255,~a_7,"[0,0076-1,0000]",0.0076,1.17,0.0076
257,~d_10,"[0,0009-1,0000]",0.0010,0.83,0.0161
257,~a_7,"[0,0009-0,9849]",0.0161,0.83,0.0161
258,~d_19,"[0,0004-1,0000]",0.0005,2.36,0.0081
259,d_16,"[0,1208-1,0000]",0.1208,2.63,0.1209
260,d_15,"[0,3846-1,0000]",0.3878,1.58,0.3871
260,a_6,"[0,3871-1,0000]",0.3871,1.61,0.3871
260,a_9,"[0,3845-0,9973]",0.3871,1.68,0.3871
261,~a_8,"[0,0000-0,9834]",0.0177,0.31,0.0166
261,~a_7,"[0,0000-0,9834]",0.0177,0.27,0.0166
262,d_11,"[0,0055-1,0000]",0.0056,0.86,0.0055
262,a_7,"[0,0000-0,9945]",0.0055,0.88,0.0055
265,a_4,"[0,0017-1,0000]",0.0018,0.40,0.0017
265,~a_7,"[0,0001-1,0000]",0.0002,0.45,0.0017
265,a_8,"[0,0000-0,9998]",0.0002,0.48,0.0017
266,~d_16,"[0,0006-1,0000]",0.0006,0.96,0.0006
266,a_5,"[0,0006-1,0000]",0.0006,0.93,0.0006
267,d_14,"[0,0250-1,0000]",0.0250,0.50,0.0250
267,a_8,"[0,0249-1,0000]",0.0250,0.59,0.0250
267,~a_7,"[0,0249-0,9999]",0.0250,0.48,0.0250
268,a_4,"[0,0000-1,0000]",0.0000,1.22,0.0000
268,a_5,"[0,0000-1,0000]",0.0000,1.12,0.0000
268,a_8,"[0,0000-1,0000]",0.0000,1.24,0.0000
269,~a_7,"[0,0000-0,9989]",0.0011,0.83,0.0011
270,~a_0,"[0,0056-1,0000]",0.0062,0.45,0.0056
270,a_7,"[0,0000-1,0000]",0.0000,0.42,0.0056
271,a_1,"[0,0008-1,0000]",0.0008,2.66,0.0008
271,a_8,"[0,0003-0,9996]",0.0008,2.58,0.0008
271,~a_8,"[0,0004-0,9997]",0.0008,2.55,0.0008
