Prog,Lit,Exact,Time
216,a_6,"[0,9995-1,0000]",1511.00
216,a_8,"[0,0057-0,0061]",1524.64
217,d_10,"[0,9828-1,0000]",449.64
220,d_19,"[0,9461-1,0000]",1957.49
220,a_8,"[0,7138-0,9705]",1977.76
220,~a_7,"[0,2451-0,4867]",1964.14
222,~d_16,"[0,7589-1,0000]",1902.26
222,a_5,"[0,8847-1,0000]",1900.18
222,a_8,"[0,1610-0,3833]",1941.57
223,~a_5,"[0,6658-1,0000]",561.80
224,~d_11,"[0,9332-1,0000]",206.81
225,~a_5,"[0,9942-1,0000]",2002.60
225,~a_8,"[0,0058-0,0615]",2016.26
226,d_18,"[0,9709-1,0000]",2357.36
227,d_13,"[0,7492-1,0000]",1336.16
227,~a_6,"[0,8452-1,0000]",1336.43
227,a_7,"[0,1138-0,3373]",1354.18
228,d_18,"[0,9908-1,0000]",1647.36
228,a_7,"[0,8789-0,9994]",1652.01
229,d_9,"[0,9913-1,0000]",1766.65
229,a_8,"[0,8907-0,9996]",1775.53
230,d_14,"[0,9037-1,0000]",1695.43
230,a_7,"[0,6925-0,8628]",1706.16
233,~a_7,"[0,0061-0,1848]",1307.48
234,a_0,"[0,9951-1,0000]",309.76
234,a_8,"[0,8962-1,0000]",310.06
236,d_19,"[0,9509-1,0000]",839.00
238,a_3,"[0,8052-1,0000]",660.60
239,~a_3,"[0,9903-1,0000]",475.72
239,a_8,"[0,0169-0,0538]",476.04
240,a_7,"[0,9025-0,9862]",1348.12
241,~a_3,"[0,9758-1,0000]",1059.25
241,~a_7,"[0,7354-0,9860]",1059.44
242,a_6,"[0,8367-1,0000]",856.89
242,~a_7,"[0,0578-0,1371]",863.23
243,d_16,"[0,9991-1,0000]",2646.89
243,a_7,"[0,7859-0,9930]",2669.81
244,a_0,"[0,9536-1,0000]",979.47
245,d_14,"[0,9543-1,0000]",380.89
246,d_17,"[0,8582-1,0000]",2091.72
246,~a_7,"[0,8593-0,9811]",2104.63
247,~a_7,"[0,0413-0,1905]",1042.23
248,a_8,"[0,1888-0,2075]",1205.89
249,d_9,"[0,8277-1,0000]",1642.80
249,a_6,"[0,9677-1,0000]",1639.73
249,~a_8,"[0,9060-0,9155]",1660.90
250,a_0,"[0,9999-1,0000]",1215.57
251,a_1,"[0,9808-1,0000]",847.08
251,~a_5,"[0,9789-1,0000]",845.39
251,a_8,"[0,8732-0,9610]",853.30
252,d_12,"[0,7868-1,0000]",1352.09
254,a_7,"[0,8410-0,9970]",1176.47
256,~a_6,"[0,8966-1,0000]",1392.63
257,a_0,"[0,9279-1,0000]",1462.00
257,~a_7,"[0,6474-0,9011]",1475.70
257,a_7,"[0,0989-0,3526]",1471.21
258,~d_18,"[0,7691-1,0000]",1538.78
258,a_6,"[0,7576-1,0000]",1535.27
258,~a_7,"[0,6211-0,9922]",1544.09
259,~a_0,"[0,9294-1,0000]",1431.70
260,~a_7,"[0,7066-0,8512]",3076.46
261,~d_16,"[0,9002-1,0000]",489.10
261,a_6,"[0,7697-1,0000]",488.59
262,a_4,"[0,9709-1,0000]",1144.83
262,a_5,"[0,8209-1,0000]",1143.60
262,~a_7,"[0,8673-0,9394]",1154.48
263,~d_13,"[0,9902-1,0000]",1381.63
263,~a_5,"[0,7081-1,0000]",1380.17
263,a_7,"[0,7687-0,9095]",1382.38
267,a_4,"[0,9546-1,0000]",1581.12
267,a_8,"[0,7100-0,9092]",1579.85
268,a_8,"[0,7058-0,7656]",938.38
269,a_5,"[0,9722-1,0000]",877.54
271,a_2,"[0,9111-1,0000]",2184.77
271,a_6,"[0,8518-1,0000]",2183.01
272,a_5,"[0,9808-1,0000]",395.27
273,d_12,"[0,9520-1,0000]",566.50
275,a_9,"[0,9114-1,0000]",596.97
275,a_8,"[0,0094-0,0982]",599.23
275,~a_8,"[0,9018-0,9906]",597.53
276,a_1,"[0,9868-1,0000]",1050.73
277,a_0,"[0,9106-1,0000]",812.91
278,~a_3,"[0,9944-1,0000]",1371.38
278,a_6,"[0,9938-1,0000]",1369.19
279,a_8,"[0,0961-0,1373]",3413.91
279,~a_7,"[0,0574-0,3716]",3405.13
284,a_7,"[0,7940-0,9114]",1034.57
284,a_8,"[0,1632-0,2753]",1038.54
285,~a_1,"[0,9702-1,0000]",1728.01
285,~a_9,"[0,9010-0,9979]",1729.00
286,~d_9,"[0,9871-1,0000]",621.50
287,a_7,"[0,6620-0,9953]",430.14
287,~a_7,"[0,0047-0,3380]",428.43
291,~a_8,"[0,9210-1,0000]",838.47
292,~d_13,"[0,9949-1,0000]",1028.95
292,a_9,"[0,0046-0,0210]",1027.88
293,~d_17,"[0,9105-1,0000]",1019.20
295,d_11,"[0,8940-1,0000]",233.63
295,a_7,"[0,6460-0,9608]",233.87
296,~a_8,"[0,6944-0,9954]",2920.30
297,~d_13,"[0,9999-1,0000]",596.46
298,a_1,"[0,9838-1,0000]",98.85
298,a_7,"[0,8491-0,9994]",98.45
